Freq.	2*pi*freq*V(v2)
2.00000000000000e+002	(2.72388509262019e+002dB,-1.74534991374255e+002°)
2.03328087878387e+002	(2.72545816167363e+002dB,-1.75437528071913e+002°)
2.06711556601405e+002	(2.72701033780300e+002dB,-1.76341476961654e+002°)
2.10151327730644e+002	(2.72854157763176e+002dB,-1.77246655699792e+002°)
2.13648338162880e+002	(2.73005184532467e+002dB,-1.78152881266445e+002°)
2.17203540385267e+002	(2.73154111261805e+002dB,-1.79059970110688e+002°)
2.20817902734762e+002	(2.73300935884331e+002dB,-1.79967738295947e+002°)
2.24492409661874e+002	(2.73445657094403e+002dB,1.79123998354397e+002°)
2.28228061998802e+002	(2.73588274348637e+002dB,1.78215424111289e+002°)
2.32025877232032e+002	(2.73728787866310e+002dB,1.77306723194190e+002°)
2.35886889779473e+002	(2.73867198629100e+002dB,1.76398079625248e+002°)
2.39812151272200e+002	(2.74003508380190e+002dB,1.75489677083480e+002°)
2.43802730840895e+002	(2.74137719622709e+002dB,1.74581698759041e+002°)
2.47859715407041e+002	(2.74269835617517e+002dB,1.73674327207613e+002°)
2.51984209978974e+002	(2.74399860380336e+002dB,1.72767744204992e+002°)
2.56177337952854e+002	(2.74527798678203e+002dB,1.71862130601936e+002°)
2.60440241418646e+002	(2.74653656025248e+002dB,1.70957666179354e+002°)
2.64774081471194e+002	(2.74777438677786e+002dB,1.70054529503932e+002°)
2.69180038526471e+002	(2.74899153628712e+002dB,1.69152897784291e+002°)
2.73659312643089e+002	(2.75018808601187e+002dB,1.68252946727804e+002°)
2.78213123849165e+002	(2.75136412041609e+002dB,1.67354850398198e+002°)
2.82842712474619e+002	(2.75251973111847e+002dB,1.66458781074094e+002°)
2.87549339489003e+002	(2.75365501680746e+002dB,1.65564909108639e+002°)
2.92334286844961e+002	(2.75477008314876e+002dB,1.64673402790427e+002°)
2.97198857827389e+002	(2.75586504268529e+002dB,1.63784428205885e+002°)
3.02144377408418e+002	(2.75694001472951e+002dB,1.62898149103348e+002°)
3.07172192608297e+002	(2.75799512524807e+002dB,1.62014726759043e+002°)
3.12283672862284e+002	(2.75903050673874e+002dB,1.61134319845211e+002°)
3.17480210393639e+002	(2.76004629809968e+002dB,1.60257084300642e+002°)
3.22763220592834e+002	(2.76104264449098e+002dB,1.59383173203845e+002°)
3.28134142403055e+002	(2.76201969718860e+002dB,1.58512736649158e+002°)
3.33594438712137e+002	(2.76297761343081e+002dB,1.57645921626044e+002°)
3.39145596751013e+002	(2.76391655625718e+002dB,1.56782871901870e+002°)
3.44789128498790e+002	(2.76483669434031e+002dB,1.55923727908438e+002°)
3.50526571094573e+002	(2.76573820181052e+002dB,1.55068626632554e+002°)
3.56359487256135e+002	(2.76662125807368e+002dB,1.54217701510905e+002°)
3.62289465705562e+002	(2.76748604762248e+002dB,1.53371082329528e+002°)
3.68318121601972e+002	(2.76833275984143e+002dB,1.52528895128115e+002°)
3.74447096981441e+002	(2.76916158880585e+002dB,1.51691262109427e+002°)
3.80678061204247e+002	(2.76997273307535e+002dB,1.50858301554045e+002°)
3.87012711409556e+002	(2.77076639548208e+002dB,1.50030127740686e+002°)
3.93452772977675e+002	(2.77154278291424e+002dB,1.49206850872302e+002°)
3.99999999999999e+002	(2.77230210609525e+002dB,1.48388577008135e+002°)
4.06656175756773e+002	(2.77304457935912e+002dB,1.47575408001913e+002°)
4.13423113202810e+002	(2.77377042042247e+002dB,1.46767441446332e+002°)
4.20302655461287e+002	(2.77447985015370e+002dB,1.45964770623946e+002°)
4.27296676325760e+002	(2.77517309233992e+002dB,1.45167484464558e+002°)
4.34407080770534e+002	(2.77585037345212e+002dB,1.44375667509210e+002°)
4.41635805469524e+002	(2.77651192240914e+002dB,1.43589399880794e+002°)
4.48984819323748e+002	(2.77715797034097e+002dB,1.42808757261330e+002°)
4.56456123997604e+002	(2.77778875035202e+002dB,1.42033810875899e+002°)
4.64051754464064e+002	(2.77840449728488e+002dB,1.41264627483197e+002°)
4.71773779558945e+002	(2.77900544748498e+002dB,1.40501269372672e+002°)
4.79624302544400e+002	(2.77959183856700e+002dB,1.39743794368152e+002°)
4.87605461681789e+002	(2.78016390918320e+002dB,1.38992255837865e+002°)
4.95719430814082e+002	(2.78072189879446e+002dB,1.38246702710728e+002°)
5.03968419957948e+002	(2.78126604744438e+002dB,1.37507179498753e+002°)
5.12354675905708e+002	(2.78179659553697e+002dB,1.36773726325398e+002°)
5.20880482837291e+002	(2.78231378361837e+002dB,1.36046378959690e+002°)
5.29548162942387e+002	(2.78281785216299e+002dB,1.35325168855886e+002°)
5.38360077052941e+002	(2.78330904136457e+002dB,1.34610123198482e+002°)
5.47318625286178e+002	(2.78378759093244e+002dB,1.33901264952308e+002°)
5.56426247698330e+002	(2.78425373989336e+002dB,1.33198612917466e+002°)
5.65685424949236e+002	(2.78470772639926e+002dB,1.32502181788858e+002°)
5.75098678978006e+002	(2.78514978754112e+002dB,1.31811982220024e+002°)
5.84668573689921e+002	(2.78558015916938e+002dB,1.31128020891011e+002°)
5.94397715654778e+002	(2.78599907572089e+002dB,1.30450300580001e+002°)
6.04288754816836e+002	(2.78640677005275e+002dB,1.29778820238391e+002°)
6.14344385216594e+002	(2.78680347328319e+002dB,1.29113575069056e+002°)
6.24567345724566e+002	(2.78718941463951e+002dB,1.28454556607488e+002°)
6.34960420787278e+002	(2.78756482131332e+002dB,1.27801752805516e+002°)
6.45526441185667e+002	(2.78792991832300e+002dB,1.27155148117341e+002°)
6.56268284806108e+002	(2.78828492838359e+002dB,1.26514723587575e+002°)
6.67188877424274e+002	(2.78863007178397e+002dB,1.25880456941016e+002°)
6.78291193502026e+002	(2.78896556627138e+002dB,1.25252322673879e+002°)
6.89578256997580e+002	(2.78929162694331e+002dB,1.24630292146221e+002°)
7.01053142189145e+002	(2.78960846614658e+002dB,1.24014333675285e+002°)
7.12718974512269e+002	(2.78991629338358e+002dB,1.23404412629530e+002°)
7.24578931411123e+002	(2.79021531522563e+002dB,1.22800491523082e+002°)
7.36636243203943e+002	(2.79050573523318e+002dB,1.22202530110391e+002°)
7.48894193962882e+002	(2.79078775388297e+002dB,1.21610485480862e+002°)
7.61356122408493e+002	(2.79106156850167e+002dB,1.21024312153244e+002°)
7.74025422819111e+002	(2.79132737320613e+002dB,1.20443962169588e+002°)
7.86905545955350e+002	(2.79158535884987e+002dB,1.19869385188575e+002°)
7.99999999999998e+002	(2.79183571297572e+002dB,1.19300528578035e+002°)
8.13312351513546e+002	(2.79207861977433e+002dB,1.18737337506495e+002°)
8.26846226405620e+002	(2.79231426004843e+002dB,1.18179755033608e+002°)
8.40605310922573e+002	(2.79254281118257e+002dB,1.17627722199298e+002°)
8.54593352651519e+002	(2.79276444711806e+002dB,1.17081178111515e+002°)
8.68814161541068e+002	(2.79297933833308e+002dB,1.16540060032459e+002°)
8.83271610939047e+002	(2.79318765182747e+002dB,1.16004303463184e+002°)
8.97969638647495e+002	(2.79338955111222e+002dB,1.15473842226460e+002°)
9.12912247995207e+002	(2.79358519620320e+002dB,1.14948608547827e+002°)
9.28103508928127e+002	(2.79377474361912e+002dB,1.14428533134751e+002°)
9.43547559117888e+002	(2.79395834638328e+002dB,1.13913545253817e+002°)
9.59248605088798e+002	(2.79413615402907e+002dB,1.13403572805904e+002°)
9.75210923363577e+002	(2.79430831260886e+002dB,1.12898542399291e+002°)
9.91438861628162e+002	(2.79447496470606e+002dB,1.12398379420649e+002°)
1.00793683991590e+003	(2.79463624945027e+002dB,1.11903008103898e+002°)
1.02470935181141e+003	(2.79479230253513e+002dB,1.11412351596895e+002°)
1.04176096567458e+003	(2.79494325623877e+002dB,1.10926332025938e+002°)
1.05909632588477e+003	(2.79508923944659e+002dB,1.10444870558083e+002°)
1.07672015410588e+003	(2.79523037767623e+002dB,1.09967887461256e+002°)
1.09463725057236e+003	(2.79536679310449e+002dB,1.09495302162185e+002°)
1.11285249539666e+003	(2.79549860459606e+002dB,1.09027033302135e+002°)
1.13137084989847e+003	(2.79562592773374e+002dB,1.08562998790483e+002°)
1.15019735795601e+003	(2.79574887485024e+002dB,1.08103115856133e+002°)
1.16933714737984e+003	(2.79586755506109e+002dB,1.07647301096808e+002°)
1.18879543130955e+003	(2.79598207429870e+002dB,1.07195470526237e+002°)
1.20857750963367e+003	(2.79609253534733e+002dB,1.06747539619271e+002°)
1.22868877043319e+003	(2.79619903787887e+002dB,1.06303423354968e+002°)
1.24913469144913e+003	(2.79630167848922e+002dB,1.05863036257675e+002°)
1.26992084157455e+003	(2.79640055073517e+002dB,1.05426292436151e+002°)
1.29105288237133e+003	(2.79649574517170e+002dB,1.04993105620778e+002°)
1.31253656961222e+003	(2.79658734938946e+002dB,1.04563389198896e+002°)
1.33437775484855e+003	(2.79667544805241e+002dB,1.04137056248324e+002°)
1.35658238700405e+003	(2.79676012293551e+002dB,1.03714019569093e+002°)
1.37915651399516e+003	(2.79684145296224e+002dB,1.03294191713467e+002°)
1.40210628437829e+003	(2.79691951424199e+002dB,1.02877485014279e+002°)
1.42543794902454e+003	(2.79699438010720e+002dB,1.02463811611650e+002°)
1.44915786282224e+003	(2.79706612114999e+002dB,1.02053083478145e+002°)
1.47327248640789e+003	(2.79713480525853e+002dB,1.01645212442406e+002°)
1.49778838792576e+003	(2.79720049765269e+002dB,1.01240110211327e+002°)
1.52271224481698e+003	(2.79726326091923e+002dB,1.00837688390834e+002°)
1.54805084563822e+003	(2.79732315504620e+002dB,1.00437858505295e+002°)
1.57381109191070e+003	(2.79738023745671e+002dB,1.00040532015660e+002°)
1.59999999999999e+003	(2.79743456304178e+002dB,9.96456203363406e+001°)
1.62662470302709e+003	(2.79748618419246e+002dB,9.92530348509173e+001°)
1.65369245281124e+003	(2.79753515083093e+002dB,9.88626869267169e+001°)
1.68121062184514e+003	(2.79758151044075e+002dB,9.84744879283135e+001°)
1.70918670530304e+003	(2.79762530809605e+002dB,9.80883492300134e+001°)
1.73762832308213e+003	(2.79766658648968e+002dB,9.77041822273751e+001°)
1.76654322187809e+003	(2.79770538596033e+002dB,9.73218983478199e+001°)
1.79593927729499e+003	(2.79774174451851e+002dB,9.69414090603865e+001°)
1.82582449599041e+003	(2.79777569787142e+002dB,9.65626258846844e+001°)
1.85620701785625e+003	(2.79780727944658e+002dB,9.61854603990966e+001°)
1.88709511823577e+003	(2.79783652041441e+002dB,9.58098242482880e+001°)
1.91849721017759e+003	(2.79786344970944e+002dB,9.54356291500683e+001°)
1.95042184672715e+003	(2.79788809405044e+002dB,9.50627869016641e+001°)
1.98287772325632e+003	(2.79791047795915e+002dB,9.46912093854498e+001°)
2.01587367983179e+003	(2.79793062377788e+002dB,9.43208085741898e+001°)
2.04941870362283e+003	(2.79794855168577e+002dB,9.39514965358416e+001°)
2.08352193134916e+003	(2.79796427971378e+002dB,9.35831854379713e+001°)
2.11819265176955e+003	(2.79797782375837e+002dB,9.32157875518303e+001°)
2.15344030821176e+003	(2.79798919759393e+002dB,9.28492152561442e+001°)
2.18927450114471e+003	(2.79799841288382e+002dB,9.24833810406617e+001°)
2.22570499079332e+003	(2.79800547919025e+002dB,9.21181975095142e+001°)
2.26274169979694e+003	(2.79801040398270e+002dB,9.17535773844340e+001°)
2.30039471591202e+003	(2.79801319264514e+002dB,9.13894335078791e+001°)
2.33867429475968e+003	(2.79801384848194e+002dB,9.10256788461150e+001°)
2.37759086261911e+003	(2.79801237272244e+002dB,9.06622264922991e+001°)
2.41715501926734e+003	(2.79800876452434e+002dB,9.02989896696178e+001°)
2.45737754086637e+003	(2.79800302097566e+002dB,8.99358817345234e+001°)
2.49826938289826e+003	(2.79799513709563e+002dB,8.95728161801181e+001°)
2.53984168314911e+003	(2.79798510583418e+002dB,8.92097066397342e+001°)
2.58210576474266e+003	(2.79797291807026e+002dB,8.88464668907564e+001°)
2.62507313922443e+003	(2.79795856260898e+002dB,8.84830108587360e+001°)
2.66875550969709e+003	(2.79794202617750e+002dB,8.81192526218421e+001°)
2.71316477400810e+003	(2.79792329341978e+002dB,8.77551064156997e+001°)
2.75831302799031e+003	(2.79790234689018e+002dB,8.73904866386608e+001°)
2.80421256875657e+003	(2.79787916704594e+002dB,8.70253078575569e+001°)
2.85087589804907e+003	(2.79785373223858e+002dB,8.66594848139803e+001°)
2.89831572564449e+003	(2.79782601870425e+002dB,8.62929324311415e+001°)
2.94654497281577e+003	(2.79779600055301e+002dB,8.59255658213514e+001°)
2.99557677585152e+003	(2.79776364975717e+002dB,8.55573002941742e+001°)
3.04542448963397e+003	(2.79772893613873e+002dB,8.51880513653002e+001°)
3.09610169127644e+003	(2.79769182735577e+002dB,8.48177347661855e+001°)
3.14762218382139e+003	(2.79765228888813e+002dB,8.44462664545054e+001°)
3.19999999999998e+003	(2.79761028402226e+002dB,8.40735626254699e+001°)
3.25324940605417e+003	(2.79756577383519e+002dB,8.36995397240468e+001°)
3.30738490562247e+003	(2.79751871717801e+002dB,8.33241144581416e+001°)
3.36242124369028e+003	(2.79746907065850e+002dB,8.29472038127778e+001°)
3.41837341060607e+003	(2.79741678862338e+002dB,8.25687250653264e+001°)
3.47525664616426e+003	(2.79736182313987e+002dB,8.21885958018278e+001°)
3.53308644375618e+003	(2.79730412397696e+002dB,8.18067339344534e+001°)
3.59187855458997e+003	(2.79724363858626e+002dB,8.14230577201493e+001°)
3.65164899198082e+003	(2.79718031208257e+002dB,8.10374857805060e+001°)
3.71241403571250e+003	(2.79711408722424e+002dB,8.06499371228977e+001°)
3.77419023647154e+003	(2.79704490439351e+002dB,8.02603311629307e+001°)
3.83699442035518e+003	(2.79697270157671e+002dB,7.98685877482425e+001°)
3.90084369345430e+003	(2.79689741434470e+002dB,7.94746271836886e+001°)
3.96575544651264e+003	(2.79681897583337e+002dB,7.90783702579557e+001°)
4.03174735966357e+003	(2.79673731672452e+002dB,7.86797382716342e+001°)
4.09883740724565e+003	(2.79665236522716e+002dB,7.82786530667845e+001°)
4.16704386269832e+003	(2.79656404705933e+002dB,7.78750370580269e+001°)
4.23638530353908e+003	(2.79647228543057e+002dB,7.74688132651823e+001°)
4.30688061642351e+003	(2.79637700102526e+002dB,7.70599053474903e+001°)
4.37854900228941e+003	(2.79627811198683e+002dB,7.66482376394247e+001°)
4.45140998158662e+003	(2.79617553390305e+002dB,7.62337351881259e+001°)
4.52548339959387e+003	(2.79606917979262e+002dB,7.58163237924638e+001°)
4.60078943182403e+003	(2.79595896009302e+002dB,7.53959300437426e+001°)
4.67734858951935e+003	(2.79584478265007e+002dB,7.49724813680520e+001°)
4.75518172523820e+003	(2.79572655270902e+002dB,7.45459060702669e+001°)
4.83431003853467e+003	(2.79560417290762e+002dB,7.41161333796907e+001°)
4.91475508173273e+003	(2.79547754327125e+002dB,7.36830934973320e+001°)
4.99653876579651e+003	(2.79534656121022e+002dB,7.32467176448001e+001°)
5.07968336629820e+003	(2.79521112151951e+002dB,7.28069381147952e+001°)
5.16421152948531e+003	(2.79507111638115e+002dB,7.23636883231653e+001°)
5.25014627844884e+003	(2.79492643536933e+002dB,7.19169028624929e+001°)
5.33751101939417e+003	(2.79477696545855e+002dB,7.14665175571672e+001°)
5.42632954801619e+003	(2.79462259103493e+002dB,7.10124695198904e+001°)
5.51662605598062e+003	(2.79446319391090e+002dB,7.05546972095554e+001°)
5.60842513751313e+003	(2.79429865334351e+002dB,7.00931404904281e+001°)
5.70175179609813e+003	(2.79412884605651e+002dB,6.96277406925528e+001°)
5.79663145128896e+003	(2.79395364626636e+002dB,6.91584406732929e+001°)
5.89308994563152e+003	(2.79377292571257e+002dB,6.86851848799093e+001°)
5.99115355170303e+003	(2.79358655369225e+002dB,6.82079194130654e+001°)
6.09084897926792e+003	(2.79339439709938e+002dB,6.77265920911410e+001°)
6.19220338255286e+003	(2.79319632046878e+002dB,6.72411525152226e+001°)
6.29524436764277e+003	(2.79299218602508e+002dB,6.67515521346301e+001°)
6.39999999999995e+003	(2.79278185373676e+002dB,6.62577443128254e+001°)
6.50649881210834e+003	(2.79256518137555e+002dB,6.57596843935384e+001°)
6.61476981124493e+003	(2.79234202458132e+002dB,6.52573297669351e+001°)
6.72484248738055e+003	(2.79211223693249e+002dB,6.47506399356392e+001°)
6.83674682121212e+003	(2.79187567002227e+002dB,6.42395765804083e+001°)
6.95051329232851e+003	(2.79163217354080e+002dB,6.37241036252544e+001°)
7.06617288751234e+003	(2.79138159536317e+002dB,6.32041873017869e+001°)
7.18375710917993e+003	(2.79112378164364e+002dB,6.26797962125457e+001°)
7.30329798396162e+003	(2.79085857691590e+002dB,6.21509013930818e+001°)
7.42482807142498e+003	(2.79058582419964e+002dB,6.16174763725332e+001°)
7.54838047294307e+003	(2.79030536511323e+002dB,6.10794972324331e+001°)
7.67398884071035e+003	(2.79001703999273e+002dB,6.05369426634824e+001°)
7.80168738690858e+003	(2.78972068801708e+002dB,5.99897940200062e+001°)
7.93151089302526e+003	(2.78941614733943e+002dB,5.94380353718114e+001°)
8.06349471932712e+003	(2.78910325522459e+002dB,5.88816535531552e+001°)
8.19767481449128e+003	(2.78878184819242e+002dB,5.83206382085293e+001°)
8.33408772539661e+003	(2.78845176216716e+002dB,5.77549818349633e+001°)
8.47277060707815e+003	(2.78811283263227e+002dB,5.71846798205476e+001°)
8.61376123284701e+003	(2.78776489479088e+002dB,5.66097304788770e+001°)
8.75709800457880e+003	(2.78740778373137e+002dB,5.60301350791183e+001°)
8.90281996317323e+003	(2.78704133459793e+002dB,5.54458978714057e+001°)
9.05096679918773e+003	(2.78666538276574e+002dB,5.48570261072788e+001°)
9.20157886364803e+003	(2.78627976402044e+002dB,5.42635300548779e+001°)
9.35469717903868e+003	(2.78588431474145e+002dB,5.36654230086277e+001°)
9.51036345047639e+003	(2.78547887208881e+002dB,5.30627212931463e+001°)
9.66862007706932e+003	(2.78506327419302e+002dB,5.24554442611338e+001°)
9.82951016346544e+003	(2.78463736034730e+002dB,5.18436142850075e+001°)
9.99307753159300e+003	(2.78420097120201e+002dB,5.12272567420713e+001°)
1.01593667325964e+004	(2.78375394896026e+002dB,5.06063999930254e+001°)
1.03284230589706e+004	(2.78329613757455e+002dB,4.99810753536436e+001°)
1.05002925568977e+004	(2.78282738294344e+002dB,4.93513170594736e+001°)
1.06750220387883e+004	(2.78234753310787e+002dB,4.87171622234375e+001°)
1.08526590960324e+004	(2.78185643844628e+002dB,4.80786507862417e+001°)
1.10332521119612e+004	(2.78135395186795e+002dB,4.74358254595332e+001°)
1.12168502750262e+004	(2.78083992900370e+002dB,4.67887316617731e+001°)
1.14035035921962e+004	(2.78031422839344e+002dB,4.61374174468296e+001°)
1.15932629025779e+004	(2.77977671166955e+002dB,4.54819334253298e+001°)
1.17861798912630e+004	(2.77922724373560e+002dB,4.48223326788432e+001°)
1.19823071034060e+004	(2.77866569293947e+002dB,4.41586706670084e+001°)
1.21816979585358e+004	(2.77809193124022e+002dB,4.34910051277517e+001°)
1.23844067651057e+004	(2.77750583436794e+002dB,4.28193959707827e+001°)
1.25904887352855e+004	(2.77690728197585e+002dB,4.21439051645933e+001°)
1.27999999999999e+004	(2.77629615778391e+002dB,4.14645966172206e+001°)
1.30129976242166e+004	(2.77567234971331e+002dB,4.07815360510745e+001°)
1.32295396224898e+004	(2.77503575001105e+002dB,4.00947908721658e+001°)
1.34496849747611e+004	(2.77438625536418e+002dB,3.94044300341074e+001°)
1.36734936424242e+004	(2.77372376700282e+002dB,3.87105238972952e+001°)
1.39010265846570e+004	(2.77304819079170e+002dB,3.80131440837058e+001°)
1.41323457750247e+004	(2.77235943730944e+002dB,3.73123633277830e+001°)
1.43675142183598e+004	(2.77165742191528e+002dB,3.66082553239086e+001°)
1.46065959679232e+004	(2.77094206480276e+002dB,3.59008945709828e+001°)
1.48496561428499e+004	(2.77021329104005e+002dB,3.51903562146602e+001°)
1.50967609458861e+004	(2.76947103059653e+002dB,3.44767158878080e+001°)
1.53479776814207e+004	(2.76871521835555e+002dB,3.37600495497711e+001°)
1.56033747738171e+004	(2.76794579411299e+002dB,3.30404333250414e+001°)
1.58630217860505e+004	(2.76716270256170e+002dB,3.23179433419376e+001°)
1.61269894386542e+004	(2.76636589326167e+002dB,3.15926555719125e+001°)
1.63953496289825e+004	(2.76555532059602e+002dB,3.08646456701020e+001°)
1.66681754507932e+004	(2.76473094371280e+002dB,3.01339888177344e+001°)
1.69455412141563e+004	(2.76389272645298e+002dB,2.94007595670112e+001°)
1.72275224656940e+004	(2.76304063726460e+002dB,2.86650316890638e+001°)
1.75141960091576e+004	(2.76217464910355e+002dB,2.79268780255785e+001°)
1.78056399263464e+004	(2.76129473932137e+002dB,2.71863703446669e+001°)
1.81019335983754e+004	(2.76040088954031e+002dB,2.64435792015411e+001°)
1.84031577272960e+004	(2.75949308551632e+002dB,2.56985738045314e+001°)
1.87093943580773e+004	(2.75857131699048e+002dB,2.49514218869580e+001°)
1.90207269009527e+004	(2.75763557752934e+002dB,2.42021895853441e+001°)
1.93372401541386e+004	(2.75668586435500e+002dB,2.34509413244245e+001°)
1.96590203269309e+004	(2.75572217816547e+002dB,2.26977397093744e+001°)
1.99861550631860e+004	(2.75474452294614e+002dB,2.19426454256464e+001°)
2.00000000000000e+004	(2.75470319528940e+002dB,2.19109211978110e+001°)
